Namespace(data_folder='./data/', data_name='grey_train_pool', hidden_size=10, loss_model=3, lr=0.0001, num_epoch=100001, out_dim=32, sar_size1=5, sar_size2=11, sar_size3=17, save_epoch=5000, test_epoch=100, test_n_query=1, test_n_shot=5, test_n_way=7, test_num=0, train_n_query=15, train_n_shot=5, train_n_way=7, trainset_ratio=0.7)
epoch: 52499, test_acc: 90.66 %, loss: 0.0175
epoch: 52999, test_acc: 88.14 %, loss: 0.0054
epoch: 53499, test_acc: 90.23 %, loss: 0.0026
epoch: 53999, test_acc: 90.57 %, loss: 0.0060
epoch: 54499, test_acc: 89.37 %, loss: 0.0126
epoch: 54999, test_acc: 88.63 %, loss: 0.0026
epoch: 55499, test_acc: 90.57 %, loss: 0.0068
epoch: 55999, test_acc: 89.54 %, loss: 0.0926
epoch: 56499, test_acc: 89.89 %, loss: 0.0499
epoch: 56999, test_acc: 88.26 %, loss: 0.0125
epoch: 57499, test_acc: 90.86 %, loss: 0.0086
epoch: 57999, test_acc: 88.80 %, loss: 0.0094
epoch: 58499, test_acc: 90.29 %, loss: 0.0256
epoch: 58999, test_acc: 90.77 %, loss: 0.0426
epoch: 59499, test_acc: 89.51 %, loss: 0.0019
epoch: 59999, test_acc: 90.94 %, loss: 0.0089
epoch: 60499, test_acc: 89.80 %, loss: 0.0117
epoch: 60999, test_acc: 90.69 %, loss: 0.0021
epoch: 61499, test_acc: 89.17 %, loss: 0.0063
epoch: 61999, test_acc: 89.46 %, loss: 0.0021
epoch: 62499, test_acc: 89.94 %, loss: 0.0151
epoch: 62999, test_acc: 89.46 %, loss: 0.0313
epoch: 63499, test_acc: 89.69 %, loss: 0.0291
epoch: 63999, test_acc: 90.69 %, loss: 0.0174
epoch: 64499, test_acc: 90.57 %, loss: 0.0068
epoch: 64999, test_acc: 90.14 %, loss: 0.0633
epoch: 65499, test_acc: 90.46 %, loss: 0.0308
epoch: 65999, test_acc: 90.43 %, loss: 0.0018
epoch: 66499, test_acc: 89.57 %, loss: 0.0517
epoch: 66999, test_acc: 90.31 %, loss: 0.0285
epoch: 67499, test_acc: 90.94 %, loss: 0.0266
epoch: 67999, test_acc: 88.54 %, loss: 0.0188
epoch: 68499, test_acc: 89.94 %, loss: 0.0026
epoch: 68999, test_acc: 89.43 %, loss: 0.0069
epoch: 69499, test_acc: 88.89 %, loss: 0.0025
epoch: 69999, test_acc: 90.31 %, loss: 0.1561
epoch: 70499, test_acc: 89.69 %, loss: 0.0109
epoch: 70999, test_acc: 91.43 %, loss: 0.0133
epoch: 71499, test_acc: 89.69 %, loss: 0.0047
epoch: 71999, test_acc: 89.57 %, loss: 0.0082
epoch: 72499, test_acc: 90.43 %, loss: 0.0648
epoch: 72999, test_acc: 90.77 %, loss: 0.0011
epoch: 73499, test_acc: 89.74 %, loss: 0.0011
epoch: 73999, test_acc: 90.37 %, loss: 0.0014
