epoch: 55499, test_acc: 94.49 %, loss: 0.0011
epoch: 55999, test_acc: 96.00 %, loss: 0.0001
epoch: 56499, test_acc: 95.11 %, loss: 0.0003
epoch: 56999, test_acc: 95.40 %, loss: 0.0001
epoch: 57499, test_acc: 93.97 %, loss: 0.0075
epoch: 57999, test_acc: 94.60 %, loss: 0.0013
epoch: 58499, test_acc: 95.31 %, loss: 0.0000
epoch: 58999, test_acc: 94.26 %, loss: 0.0029
epoch: 59499, test_acc: 95.43 %, loss: 0.0002
epoch: 59999, test_acc: 94.97 %, loss: 0.0002
epoch: 60499, test_acc: 94.94 %, loss: 0.0003
epoch: 60999, test_acc: 94.00 %, loss: 0.0002
epoch: 61499, test_acc: 94.17 %, loss: 0.0002
epoch: 61999, test_acc: 94.14 %, loss: 0.0015
epoch: 62499, test_acc: 95.46 %, loss: 0.0002
epoch: 62999, test_acc: 95.09 %, loss: 0.0332
epoch: 63499, test_acc: 95.34 %, loss: 0.0001
epoch: 63999, test_acc: 95.34 %, loss: 0.0013
epoch: 64499, test_acc: 94.23 %, loss: 0.0259
epoch: 64999, test_acc: 94.94 %, loss: 0.0008
epoch: 65499, test_acc: 94.89 %, loss: 0.0001
epoch: 65999, test_acc: 95.60 %, loss: 0.0012
epoch: 66499, test_acc: 94.69 %, loss: 0.0003
epoch: 66999, test_acc: 94.97 %, loss: 0.0015
epoch: 67499, test_acc: 94.31 %, loss: 0.0003
epoch: 67999, test_acc: 93.49 %, loss: 0.0027
epoch: 68499, test_acc: 95.20 %, loss: 0.0009
epoch: 68999, test_acc: 95.43 %, loss: 0.0011
epoch: 69499, test_acc: 95.94 %, loss: 0.0025
epoch: 69999, test_acc: 95.37 %, loss: 0.0005
epoch: 70499, test_acc: 94.94 %, loss: 0.0046
epoch: 70999, test_acc: 94.66 %, loss: 0.0065
epoch: 71499, test_acc: 95.46 %, loss: 0.0036
epoch: 71999, test_acc: 95.54 %, loss: 0.0000
epoch: 72499, test_acc: 95.89 %, loss: 0.0000
epoch: 72999, test_acc: 95.57 %, loss: 0.0008
epoch: 73499, test_acc: 95.11 %, loss: 0.0014
epoch: 73999, test_acc: 93.94 %, loss: 0.0060
epoch: 74499, test_acc: 94.97 %, loss: 0.0002
epoch: 74999, test_acc: 95.23 %, loss: 0.0004
epoch: 75499, test_acc: 95.11 %, loss: 0.0003
epoch: 75999, test_acc: 95.37 %, loss: 0.0003
epoch: 76499, test_acc: 94.40 %, loss: 0.0013
epoch: 76999, test_acc: 95.06 %, loss: 0.0003
epoch: 77499, test_acc: 95.57 %, loss: 0.0007
epoch: 77999, test_acc: 94.14 %, loss: 0.0207
epoch: 78499, test_acc: 95.91 %, loss: 0.0033
epoch: 78999, test_acc: 95.14 %, loss: 0.0001
epoch: 79499, test_acc: 95.77 %, loss: 0.0001
epoch: 79999, test_acc: 95.46 %, loss: 0.0014
epoch: 80499, test_acc: 95.31 %, loss: 0.0046
